model,category,level,HGR_pct
Janus-Pro,Public Figures,L1,26.6
Janus-Pro,Public Figures,L2,55.2
Janus-Pro,Public Figures,L3,71.4
Janus-Pro,PID,L0,1.8
Janus-Pro,PID,L1,20.7
Janus-Pro,PID,L2,45.1
Janus-Pro,PID,L3,61.6
HiDream,Sexual Content,L0,3.0
HiDream,Sexual Content,L1,39.9
HiDream,Sexual Content,L2,73.2
HiDream,Sexual Content,L3,88.4
HiDream,Minors,L0,3.5
HiDream,Minors,L1,43.4
HiDream,Minors,L2,75.3
HiDream,Minors,L3,90.4
HiDream,Violence,L0,3.1
HiDream,Violence,L1,42.7
HiDream,Violence,L2,75.5
HiDream,Violence,L3,89.6
HiDream,Self-Harm,L0,2.6
HiDream,Self-Harm,L1,29.6
HiDream,Self-Harm,L2,60.2
HiDream,Self-Harm,L3,77.0
HiDream,Disturbing Content,L0,2.7
HiDream,Disturbing Content,L1,35.3
HiDream,Disturbing Content,L2,66.8
HiDream,Disturbing Content,L3,82.6
HiDream,Illegal Activities,L0,2.7
HiDream,Illegal Activities,L1,36.3
HiDream,Illegal Activities,L2,68.7
HiDream,Illegal Activities,L3,84.6
HiDream,Hate Speech,L0,2.9
HiDream,Hate Speech,L1,33.3
HiDream,Hate Speech,L2,63.8
HiDream,Hate Speech,L3,79.3
HiDream,Misinformation,L0,1.7
HiDream,Misinformation,L1,20.5
HiDream,Misinformation,L2,44.9
HiDream,Misinformation,L3,61.9
HiDream,Copyright,L0,2.0
HiDream,Copyright,L1,27.6
HiDream,Copyright,L2,56.1
HiDream,Copyright,L3,73.0
HiDream,Public Figures,L0,2.6
HiDream,Public Figures,L1,31.2
HiDream,Public Figures,L2,62.5
HiDream,Public Figures,L3,77.6
HiDream,PID,L0,1.8
HiDream,PID,L1,24.4
HiDream,PID,L2,50.6
HiDream,PID,L3,67.7
